"alpha_1","beta_1","p_1","alpha_2","beta_2","p_2","alpha_3","beta_3","p_3"
51.5160395991873,40.2723903973391,0.356926315382245,97.6195529538352,33.179269919078,0.385943162876761,5.80106452964128,0.571920394906937,0.257130521740994
50.9208131780778,39.6656352599973,0.355206570882711,97.717510428507,33.745163775821,0.387611916112234,5.17044737013974,0.511814176353322,0.257181513005055
50.5413084912141,38.8114626570154,0.365176524883824,97.1605578367364,32.9876258309659,0.364191716893027,5.73774407492399,0.533263673790787,0.27063175822315
48.8859960597156,37.9251967067476,0.337909261756578,97.663334240557,33.537214851231,0.352383995733855,4.2418242383904,0.507415673549708,0.309706742509567
49.9474241583734,37.9986451917454,0.360560043860595,99.386964940551,33.9451007249183,0.350751337419431,4.7745372582612,0.533331051541673,0.288688618719974
49.9636122446303,38.7045291569974,0.374269183540232,100.463192872857,34.3159689925941,0.371293470733758,5.48822731190072,0.504682105730381,0.25443734572601
48.0991463972803,37.4181332562053,0.333133008473918,101.80962300791,34.5007931174061,0.354452335216461,4.2549687532158,0.540553389789494,0.312414656309621
48.8044266849614,37.89060305817,0.360486671560034,102.932022389711,35.010034921291,0.371607737526032,4.32320798651087,0.524547032420676,0.267905590913934
49.4082419343325,37.8493709668284,0.365961304384928,103.491897031125,34.90837352623,0.354035286849099,4.5737683233163,0.509592018319541,0.280003408765973
48.3469749520296,37.1440303821819,0.361949085628353,103.706302924091,34.8892960391892,0.375979890437862,4.80255329187542,0.503202159824522,0.262071023933785
47.2985524851168,36.1839537585782,0.381273417482092,103.6267997023,35.1715730547353,0.346253969145418,5.14714324459959,0.540449953868533,0.27247261337249
46.5872250980143,35.930675720249,0.368797190575321,102.636354207393,34.6170182584373,0.356417793893606,5.1630193451991,0.525394009043214,0.274785015531073
45.0000843778949,34.2736005377748,0.364445289529836,102.511906913255,34.5984437581184,0.365687827690597,5.83330454955442,0.560371033335769,0.269866882779567
44.6178510475367,34.3804301564649,0.376971826228296,101.531904541444,34.2815702843884,0.358409783497757,6.90280842236052,0.594175473840917,0.264618390273947
45.2761088605246,35.2998197109492,0.368223480693005,103.348098767555,34.8996881628381,0.371027668813508,5.93280624828938,0.525151933547788,0.260748850493487
45.9412051492577,34.80083867458,0.366312037783694,102.5973117205,34.3887167264991,0.375310672408253,5.27833191433021,0.563023299368907,0.258377289808053
45.8891981922807,35.1714025176484,0.368870206773513,103.496259461936,34.9264430305165,0.358295450497478,4.37387552960745,0.499807798503302,0.272834342729009
44.0738256024803,33.92840453645,0.367954249400468,103.050856969484,34.6912684713568,0.340022343057062,5.3178576841802,0.554811878111787,0.29202340754247
46.0060953417599,35.0152054081531,0.374828584294104,103.485437498983,35.3332433935037,0.361103117159116,5.52678055753331,0.535449286425827,0.26406829854678
45.6370991843848,35.1882780436596,0.375985683360877,104.23001577244,35.46446249629,0.351558922035597,6.32245544383789,0.5407719905544,0.272455394603527
46.3636329821313,35.3209762526527,0.364056451165159,105.390037280517,35.6271566546376,0.388261848622638,7.09372710592247,0.58651457300225,0.247681700212204
46.1500604849013,35.6892485373604,0.363253835648468,107.565310406889,36.3712830427043,0.368683660688665,6.73235103775133,0.52945870653505,0.268062503662867
45.8501662791577,35.6199418899439,0.361321417516337,107.38155053768,36.5527099507455,0.365771914775811,6.78661725789661,0.610647705029296,0.272906667707851
46.28352098007,35.6046363838543,0.352872045869187,108.257807327117,36.8995248529819,0.374585638584526,6.56660943503602,0.555197822778636,0.272542315546287
45.4272722115398,35.7924199008717,0.383594833853874,108.895514492289,36.8439962599838,0.363841333836143,6.68450703221176,0.551265808946452,0.252563832309983
46.4863061019105,35.9889511353297,0.359942391944364,109.355879276232,37.0755933512024,0.368638949314603,5.97640460467223,0.539307588178665,0.271418658741033
46.5769648065424,35.7676169535956,0.382638965527332,107.040240154227,36.0222594307212,0.354428552220934,6.54902443364955,0.577510886253578,0.262932482251735
45.1044338867325,34.6578881924169,0.360425741065749,106.950744283066,35.6999513355385,0.389897052130997,5.76033422441275,0.528988049611148,0.249677206803254
45.4356825509318,35.0323872953697,0.390019197378836,107.073705944978,35.7869259929828,0.34477087046859,6.12878749599816,0.564147407303979,0.265209932152573
45.1481196383268,34.7094079626944,0.38833345077074,105.665960023847,35.8974620465438,0.356439076578611,6.11403142597989,0.560279772924172,0.255227472650648
46.6845661256727,35.2399800112187,0.362387888558756,106.009113238453,36.757608858614,0.371150745059912,5.38085523977596,0.531210871257483,0.266461366381332
44.9202427430264,35.3239615243844,0.373701750661657,108.241358258661,36.6224452680475,0.343762295949027,4.39397444910866,0.529463225018866,0.282535953389316
46.3458427953243,36.0583122080356,0.360850922244646,109.299555471601,37.4443313146589,0.355426114248706,5.27164915819247,0.557435075893502,0.283722963506647
