"observation","map_component","hour","sin_1","cos_1","sin_2","cos_2"
107,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
108,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
109,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
110,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
111,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
112,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
113,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
114,"3",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
115,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
116,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
117,"3",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
118,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
119,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
120,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
121,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
122,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
123,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
124,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
125,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
126,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
127,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
128,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
129,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
130,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
131,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
132,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
133,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
134,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
135,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
136,"1",10,0.5,-0.866025403784439,-0.866025403784439,0.5
137,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
138,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
139,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
140,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
141,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
142,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
143,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
144,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
145,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
146,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
147,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
148,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
149,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
150,"2",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
151,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
152,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
153,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
154,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
155,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
156,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
157,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
158,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
159,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
160,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
161,"3",2,0.5,0.866025403784439,0.866025403784439,0.5
162,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
163,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
164,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
165,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
166,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
167,"1",0,0,1,0,1
168,"1",10,0.5,-0.866025403784439,-0.866025403784439,0.5
169,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
170,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
171,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
172,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
173,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
174,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
175,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
176,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
177,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
178,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
179,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
180,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
181,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
182,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
183,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
184,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
185,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
186,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
187,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
188,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
189,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
190,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
191,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
192,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
193,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
194,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
195,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
196,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
197,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
198,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
199,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
200,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
201,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
202,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
203,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
204,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
205,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
206,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
207,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
208,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
209,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
210,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
211,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
212,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
213,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
214,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
215,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
216,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
217,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
218,"2",0,0,1,0,1
219,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
220,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
221,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
222,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
